City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
138,Georgetown,MY,5.4112,100.3354,80.89,92,20,3.44,few clouds
139,Baruun-Urt,MN,46.6806,113.2792,60.46,74,43,5.59,scattered clouds
140,Qaanaaq,GL,77.484,-69.3632,44.98,57,6,3.71,clear sky
141,Quilmana,PE,-12.95,-76.3833,68.54,65,97,7.58,overcast clouds
142,Marawi,PH,7.9986,124.2928,69.31,91,100,2.28,overcast clouds
143,Dickinson,US,29.4608,-95.0513,101.14,56,0,13.8,clear sky
144,Buffalo,US,42.8865,-78.8784,82.31,83,100,12.66,overcast clouds
145,Dukat,RU,62.55,155.55,59.86,85,85,2.06,overcast clouds
146,Shipunovo,RU,52.1582,82.2173,53.53,71,8,8.25,clear sky
147,Saint George,US,37.1041,-113.5841,100.8,28,0,19.57,clear sky
148,Ngozi,BI,-2.9075,29.8306,62.51,58,98,3.29,overcast clouds
149,Coihaique,CL,-45.5752,-72.0662,40.95,52,20,3.44,few clouds
150,Somerset East,ZA,-32.7217,25.588,53.33,90,100,6.82,overcast clouds
151,Mayo,US,38.8876,-76.5119,97.47,68,0,3.0,clear sky
152,Mahebourg,MU,-20.4081,57.7,70.09,73,20,16.11,few clouds
153,The Valley,AI,18.217,-63.0578,85.86,70,40,17.27,scattered clouds
154,Itoman,JP,26.1247,127.6694,83.17,87,75,3.44,broken clouds
155,Upernavik,GL,72.7868,-56.1549,44.62,74,100,11.25,overcast clouds
156,Ulaanbaatar,MN,47.9077,106.8832,55.53,88,40,4.47,scattered clouds
157,Iqaluit,CA,63.7506,-68.5145,43.7,87,75,6.91,broken clouds
158,Volot,RU,57.9278,30.7025,61.5,72,9,1.45,clear sky
159,Pandan,PH,14.0453,124.1694,76.5,90,100,3.62,overcast clouds
160,Morondava,MG,-20.2833,44.2833,70.61,83,1,8.84,clear sky
161,Turukhansk,RU,65.8167,87.9833,49.91,79,41,2.33,scattered clouds
162,Dingle,PH,10.9995,122.6711,75.65,92,100,1.66,light rain
163,Ananas,HT,19.2466,-71.9557,84.2,54,100,10.11,overcast clouds
164,Sola,VU,-13.8833,167.55,81.27,78,40,3.44,scattered clouds
165,Tiksi,RU,71.6872,128.8694,46.51,68,92,0.36,overcast clouds
166,New Norfolk,AU,-42.7826,147.0587,43.92,68,62,2.51,broken clouds
167,Omboue,GA,-1.5746,9.2618,72.1,75,48,10.16,scattered clouds
168,Hermanus,ZA,-34.4187,19.2345,47.8,78,98,6.42,overcast clouds
169,Crowley,US,30.2141,-92.3746,87.98,63,90,6.64,overcast clouds
170,Porto Belo,BR,-27.1578,-48.5531,68.25,93,99,5.28,overcast clouds
171,Nemuro,JP,43.3236,145.575,58.1,85,100,10.09,overcast clouds
172,Ambilobe,MG,-13.2,49.05,65.08,74,3,4.61,clear sky
173,Kamaishi,JP,39.2667,141.8833,67.68,87,96,4.97,overcast clouds
174,Fare,PF,-16.7,-151.0167,77.02,78,51,25.48,moderate rain
175,Miranda,CO,3.2499,-76.2281,82.53,72,58,1.68,broken clouds
176,Manbij,SY,36.5281,37.9549,83.98,52,0,10.25,clear sky
177,Faanui,PF,-16.4833,-151.75,77.4,78,44,25.23,light rain
178,Hamilton,US,39.1834,-84.5333,82.83,83,40,5.75,scattered clouds
179,Samarai,PG,-10.6167,150.6667,79.43,85,45,11.9,scattered clouds
180,Bandarbeyla,SO,9.4942,50.8122,77.27,76,45,30.2,scattered clouds
181,Hobyo,SO,5.3505,48.5268,76.3,85,76,23.13,broken clouds
182,Maracaju,BR,-21.6144,-55.1683,85.77,23,5,5.23,clear sky
183,Miguel Hidalgo,MX,19.4225,-99.2028,77.43,44,75,23.02,broken clouds
184,Thompson,CA,55.7435,-97.8558,66.36,39,75,3.44,broken clouds
185,Pierre,US,44.3683,-100.351,97.72,38,0,21.85,clear sky
186,Victoria,HK,22.2855,114.1577,78.85,95,100,1.01,heavy intensity rain
