City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
132,Kokkola,FI,63.93,clear sky,63.8385,23.1307,Hotel Kokkola
133,Tuensang,IN,70.16,overcast clouds,26.2833,94.8333,NST HOTEL
134,Aykhal,RU,43.21,light rain,66.0,111.5,Гостиница Айхал
135,Butembo,CD,58.14,scattered clouds,0.15,29.2833,Hotel Ivatsiro
136,Gigmoto,PH,77.0,overcast clouds,13.7796,124.39,Cj's Travellers Inn
137,Saint-Pierre,RE,65.28,clear sky,-21.3393,55.4781,Alize Plage
139,Baruun-Urt,MN,60.46,scattered clouds,46.6806,113.2792,Ургах наран
140,Qaanaaq,GL,44.98,clear sky,77.484,-69.3632,Qaanaaq Hotel
141,Quilmana,PE,68.54,overcast clouds,-12.95,-76.3833,"Hostal ""El Silencio"""
142,Marawi,PH,69.31,overcast clouds,7.9986,124.2928,"Marawi Resort Hotel, Inc. (Ayala Resort)"
146,Shipunovo,RU,53.53,clear sky,52.1582,82.2173,"Hotel ""Alieika"""
148,Ngozi,BI,62.51,overcast clouds,-2.9075,29.8306,Ganza Hotel & Restaurant
149,Coihaique,CL,40.95,few clouds,-45.5752,-72.0662,Entre Cumbres Apart Hotel
150,Somerset East,ZA,53.33,overcast clouds,-32.7217,25.588,Somerset East Royal Hotel
152,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Holiday Inn Mauritius Mon Tresor
156,Ulaanbaatar,MN,55.53,scattered clouds,47.9077,106.8832,Shangri-La Ulaanbaatar
157,Iqaluit,CA,43.7,broken clouds,63.7506,-68.5145,Aqsarniit Hotel & Conference Centre
158,Volot,RU,61.5,clear sky,57.9278,30.7025,Hotel Polist
159,Pandan,PH,76.5,overcast clouds,14.0453,124.1694,Bonifacio Lodge
160,Morondava,MG,70.61,clear sky,-20.2833,44.2833,Palissandre Cote Ouest resort & SPA
161,Turukhansk,RU,49.91,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
162,Dingle,PH,75.65,light rain,10.9995,122.6711,Vaccinated Staff - OYO 236 Hotel Edmundo
165,Tiksi,RU,46.51,overcast clouds,71.6872,128.8694,Gostinitsa
166,New Norfolk,AU,43.92,broken clouds,-42.7826,147.0587,Junction Motel
167,Omboue,GA,72.1,scattered clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
168,Hermanus,ZA,47.8,overcast clouds,-34.4187,19.2345,Harbour House Hotel
170,Porto Belo,BR,68.25,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
171,Nemuro,JP,58.1,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
172,Ambilobe,MG,65.08,clear sky,-13.2,49.05,Hotel National
173,Kamaishi,JP,67.68,overcast clouds,39.2667,141.8833,Kamaishi Bay City Hotel
174,Fare,PF,77.02,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
177,Faanui,PF,77.4,light rain,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
179,Samarai,PG,79.43,scattered clouds,-10.6167,150.6667,Nuli Sapi
180,Bandarbeyla,SO,77.27,scattered clouds,9.4942,50.8122,JABIR HOTEL
181,Hobyo,SO,76.3,broken clouds,5.3505,48.5268,Osmani Hotel
183,Miguel Hidalgo,MX,77.43,broken clouds,19.4225,-99.2028,Hotel Galería Plaza Reforma
184,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Best Western Thompson Hotel & Suites
186,Victoria,HK,78.85,heavy intensity rain,22.2855,114.1577,The T Hotel
187,Megion,RU,59.02,broken clouds,61.0296,76.1136,Nadezhda
188,Sioux Lookout,CA,69.87,broken clouds,50.1001,-91.917,Sioux Lookout Inn & Suites
189,Khatanga,RU,53.24,overcast clouds,71.9667,102.5,"Gostinitsa ""Khatanga"""
191,Stolin,BY,67.57,broken clouds,51.8912,26.846,Gostinitsa Goryn'
192,Pisco,PE,64.45,clear sky,-13.7,-76.2167,PiscoMar Peru
193,Whitehorse,CA,70.11,light intensity shower rain,60.7161,-135.0538,Best Western Gold Rush Inn
196,Angoche,MZ,71.73,clear sky,-16.2325,39.9086,Hotel Chando Angoche
197,Lugo,ES,65.77,overcast clouds,43.0,-7.5,Mercure Lugo Centro
199,Priyutovo,RU,61.81,few clouds,53.9,53.9333,"Gostinichnyye Uslugi, Banya"
200,Juneau,US,62.83,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
203,Azare,NG,77.29,overcast clouds,11.6765,10.1948,Criss Hotel
206,Aklavik,CA,75.2,haze,68.2191,-135.0107,Aklavik Inn
207,Talakan,RU,70.74,moderate rain,50.3167,130.3667,Gostinitsa Talakan
208,Camabatela,AO,64.53,scattered clouds,-8.1881,15.375,Hotel Pif Paf
210,Pallasovka,RU,78.42,broken clouds,50.05,46.8833,Hotel Yubileinaya
212,Aksu,CN,77.5,few clouds,41.1231,80.2644,Jianshe Hotel
213,Shizunai,JP,63.43,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
214,Cap Malheureux,MU,67.46,few clouds,-19.9842,57.6142,Hibiscus Boutique Hotel
216,Yulara,AU,48.07,clear sky,-25.2406,130.9889,The Lost Camel Hotel - Ayers Rock Resort
